Park County, Wyoming, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,14.7,
189502,15.1,
189503,23.3,
189504,40.9,
189505,44.8,
189506,48.7,
189507,57.4,
189508,58.2,
189509,47.6,
189510,40.4,
189511,25,
189512,17.6,
189601,20.4,
189602,26.5,
189603,22.4,
189604,33.3,
189605,40.9,
189606,56,
189607,60.8,
189608,58,
189609,46.3,
189610,39.5,
189611,14.5,
189612,28.4,
189701,17.4,
189702,19.2,
189703,17.4,
189704,36.1,
189705,50.4,
189706,51.4,
189707,56.5,
189708,58.6,
189709,52.4,
189710,38.1,
189711,24.6,
189712,17.1,
189801,12.6,
189802,24.6,
189803,18.5,
189804,37.8,
189805,42.3,
189806,52.6,
189807,58.5,
189808,60.1,
189809,48,
189810,33.6,
189811,21.7,
189812,14.3,
189901,16.7,
189902,6.2,
189903,17.6,
189904,34.1,
189905,41.1,
189906,51.2,
189907,59.8,
189908,55.2,
189909,50.6,
189910,35.9,
189911,31.3,
189912,17.7,
190001,20.9,
190002,15.4,
190003,29.5,
190004,38.1,
190005,48.1,
190006,58.7,
190007,59.1,
190008,57.6,
190009,47.4,
190010,39.3,
190011,24.1,
190012,24,
190101,17.8,
190102,15.5,
190103,26.2,
190104,35.3,
190105,50.8,
190106,48.9,
190107,64.7,
190108,60.9,
190109,45.5,
190110,43,
190111,32.1,
190112,19.3,
190201,15,
190202,23,
190203,25.2,
190204,34.9,
190205,47.4,
190206,52.3,
190207,57.4,
190208,58.2,
190209,48.6,
190210,40.5,
190211,26.8,
190212,19.8,
190301,21,
190302,12.2,
190303,24.7,
190304,34.1,
190305,42.2,
190306,54,
190307,57.5,
190308,58.4,
190309,46,
190310,41.9,
190311,26.9,
190312,22.2,
190401,19,
190402,22.5,
190403,26.8,
190404,38.6,
190405,45.5,
190406,51.8,
190407,58.6,
190408,59.4,
190409,51.4,
190410,42.6,
190411,34.2,
190412,22.9,
190501,20.1,
190502,15.8,
190503,32.1,
190504,36.1,
190505,41.2,
190506,51.3,
190507,60.9,
190508,61.9,
190509,53.2,
190510,35.4,
190511,28.9,
190512,19.1,
190601,20.4,
190602,22.5,
190603,19.7,
190604,38,
190605,43.6,
190606,50.5,
190607,61,
190608,58.6,
190609,52.4,
190610,39.7,
190611,25.4,
190612,25.1,
190701,9.1,
190702,26.2,
190703,29.5,
190704,33.5,
190705,41.1,
190706,49.2,
190707,58.5,
190708,56.7,
190709,48.8,
190710,43.2,
190711,28.4,
190712,20.3,
190801,19.9,
190802,21.9,
190803,25.5,
190804,38.8,
190805,42.4,
190806,49.1,
190807,61,
190808,55.7,
190809,51,
190810,35.9,
190811,27.1,
190812,16.5,
190901,15.3,
190902,19.6,
190903,25.9,
190904,29,
190905,40.4,
190906,53.6,
190907,60.6,
190908,61.2,
190909,50.1,
190910,39.1,
190911,28.8,
190912,7.7,
191001,13.1,
191002,13,
191003,37,
191004,42.4,
191005,45.4,
191006,54.8,
191007,62.4,
191008,56,
191009,49.5,
191010,41.5,
191011,28.6,
191012,21.1,
191101,17.5,
191102,15.1,
191103,31.1,
191104,33.1,
191105,43.6,
191106,55.4,
191107,57.5,
191108,54.8,
191109,48.2,
191110,34.2,
191111,20.5,
191112,15,
191201,17.1,
191202,21.2,
191203,17.6,
191204,34.5,
191205,42.1,
191206,53.3,
191207,56.7,
191208,54.8,
191209,41,
191210,34.9,
191211,30.1,
191212,19.1,
191301,14.6,
191302,10.5,
191303,21.2,
191304,36.9,
191305,44.4,
191306,53.9,
191307,57.2,
191308,59.7,
191309,49.4,
191310,33.8,
191311,29.1,
191312,17,
191401,22.3,
191402,19.2,
191403,28,
191404,36.2,
191405,46.1,
191406,52.2,
191407,60.4,
191408,57.6,
191409,49.4,
191410,40.4,
191411,30.8,
191412,12.8,
191501,17.3,
191502,25.5,
191503,27.5,
191504,43.6,
191505,42.3,
191506,47.5,
191507,54.8,
191508,58.4,
191509,45.8,
191510,41.9,
191511,27.4,
191512,19.5,
191601,3.6,
191602,21.4,
191603,30.9,
191604,35.6,
191605,39,
191606,49.2,
191607,61.4,
191608,56.6,
191609,48.1,
191610,33.6,
191611,21.2,
191612,9.6,
191701,10.3,
191702,15.3,
191703,16.1,
191704,29.9,
191705,39.9,
191706,50,
191707,63.4,
191708,56.3,
191709,50,
191710,36,
191711,33.8,
191712,21.9,
191801,13.8,
191802,17.1,
191803,30.5,
191804,29.6,
191805,41.3,
191806,57.7,
191807,57.6,
191808,55.3,
191809,47.8,
191810,41.1,
191811,24.8,
191812,21.4,
191901,21.6,
191902,17.8,
191903,27,
191904,37.6,
191905,47.3,
191906,59,
191907,63.1,
191908,60,
191909,50.4,
191910,28.9,
191911,20.5,
191912,10.9,
192001,19.9,
192002,20,
192003,23,
192004,28.5,
192005,42.4,
192006,51.1,
192007,60.6,
192008,58,
192009,49.6,
192010,36.8,
192011,23.7,
192012,19.2,
192101,20.8,
192102,24,
192103,28.3,
192104,33.5,
192105,44.5,
192106,57.3,
192107,62.2,
192108,59,
192109,46.3,
192110,42.8,
192111,27.7,
192112,18.7,
192201,9.3,
192202,10.9,
192203,25.1,
192204,32.1,
192205,43.7,
192206,56.6,
192207,59,
192208,61.6,
192209,53,
192210,41.2,
192211,24,
192212,15.2,
192301,21.6,
192302,14.8,
192303,22.1,
192304,33.6,
192305,44.7,
192306,52,
192307,63.4,
192308,56.8,
192309,50.3,
192310,32.5,
192311,28.5,
192312,15.8,
192401,12.3,
192402,24.6,
192403,19.7,
192404,33.9,
192405,44,
192406,51,
192407,59.2,
192408,57.7,
192409,48.6,
192410,38.2,
192411,26.4,
192412,10,
192501,18.8,
192502,26.9,
192503,29.7,
192504,37.8,
192505,45.9,
192506,51.9,
192507,61.9,
192508,57.2,
192509,48.9,
192510,30.2,
192511,25.5,
192512,24,
192601,18.1,
192602,25.9,
192603,25.8,
192604,38.3,
192605,46.9,
192606,54.2,
192607,61,
192608,57.6,
192609,42.6,
192610,40,
192611,30,
192612,17.7,
192701,16.1,
192702,22.2,
192703,25.2,
192704,32.5,
192705,40.1,
192706,52.4,
192707,59,
192708,53.5,
192709,47.6,
192710,40.6,
192711,29.2,
192712,9.3,
192801,20.1,
192802,17.8,
192803,27.8,
192804,31.8,
192805,48.6,
192806,48,
192807,59.1,
192808,55.7,
192809,49.2,
192810,38.4,
192811,27.2,
192812,16.8,
192901,9,
192902,10.5,
192903,25.3,
192904,31.8,
192905,41,
192906,51.9,
192907,61.7,
192908,62,
192909,44.6,
192910,40.1,
192911,20.2,
192912,22.7,
193001,2.2,
193002,27.5,
193003,24.4,
193004,42.1,
193005,43.9,
193006,52.9,
193007,61.8,
193008,59.5,
193009,49.4,
193010,35.5,
193011,26.5,
193012,20.2,
193101,22.7,
193102,25.3,
193103,25.7,
193104,35.7,
193105,44.3,
193106,57,
193107,62.5,
193108,59.3,
193109,50.2,
193110,39.1,
193111,23.4,
193112,18.9,
193201,12.2,
193202,20.5,
193203,19.2,
193204,35.8,
193205,45,
193206,53,
193207,60.6,
193208,59.1,
193209,49.7,
193210,34.8,
193211,30,
193212,10.2,
193301,19.6,
193302,11.4,
193303,27.7,
193304,32.7,
193305,41.6,
193306,58.4,
193307,64,
193308,57.4,
193309,50.5,
193310,42.8,
193311,31.8,
193312,26.3,
193401,26.2,
193402,27.4,
193403,32.8,
193404,41.1,
193405,53.2,
193406,53.2,
193407,62.2,
193408,59.4,
193409,45.5,
193410,43.8,
193411,32.6,
193412,21.8,
193501,22.6,
193502,24.1,
193503,25.4,
193504,31.6,
193505,41.1,
193506,52.7,
193507,63.3,
193508,59,
193509,51.9,
193510,38.4,
193511,21.7,
193512,20.4,
193601,16,
193602,7,
193603,24.5,
193604,34.8,
193605,50.4,
193606,57.1,
193607,66,
193608,59.9,
193609,49.8,
193610,39,
193611,26.3,
193612,20.7,
193701,1.2,
193702,18.1,
193703,25.5,
193704,34.7,
193705,47.7,
193706,53.2,
193707,61.9,
193708,61,
193709,51.8,
193710,41.7,
193711,27.9,
193712,20.5,
193801,19.7,
193802,22.2,
193803,27.5,
193804,35.5,
193805,43,
193806,54.6,
193807,59.6,
193808,58.3,
193809,54.6,
193810,41.2,
193811,20.6,
193812,21.7,
193901,21.5,
193902,11.8,
193903,27.3,
193904,39,
193905,48.2,
193906,50.2,
193907,62.5,
193908,58.4,
193909,51.3,
193910,40.2,
193911,32.3,
193912,27.7,
194001,14,
194002,23,
194003,30.9,
194004,36.3,
194005,48,
194006,56.4,
194007,62.6,
194008,61.2,
194009,54.4,
194010,43.3,
194011,22.5,
194012,23,
194101,21.4,
194102,23.8,
194103,28.7,
194104,35.6,
194105,48,
194106,53.8,
194107,61.4,
194108,58.6,
194109,44.8,
194110,37.6,
194111,29.2,
194112,21.9,
194201,14.5,
194202,14.5,
194203,24.6,
194204,39.2,
194205,41.4,
194206,50.1,
194207,61.1,
194208,58.7,
194209,49.1,
194210,38.9,
194211,25.7,
194212,21.6,
194301,12.7,
194302,22.3,
194303,19.2,
194304,42.2,
194305,41.2,
194306,50,
194307,61.4,
194308,59.7,
194309,51,
194310,42.4,
194311,30.7,
194312,21.9,
194401,18.3,
194402,19.6,
194403,22.4,
194404,36.6,
194405,46.5,
194406,49.6,
194407,57.8,
194408,56.3,
194409,49.4,
194410,43.2,
194411,27,
194412,18.9,
194501,21.2,
194502,21.6,
194503,27.3,
194504,30.7,
194505,43.1,
194506,47.4,
194507,59.4,
194508,58.2,
194509,46.8,
194510,42.8,
194511,26.9,
194512,17.3,
194601,19.4,
194602,22,
194603,31.5,
194604,41.9,
194605,41.9,
194606,53.4,
194607,61.6,
194608,57.6,
194609,48.4,
194610,33.6,
194611,25.9,
194612,23.4,
194701,16.4,
194702,20.3,
194703,25.6,
194704,35.1,
194705,46.4,
194706,48.7,
194707,61.4,
194708,59.1,
194709,50.8,
194710,43.5,
194711,21.2,
194712,20.4,
194801,17.3,
194802,17.2,
194803,21.7,
194804,36.3,
194805,45.9,
194806,53.2,
194807,58.6,
194808,58.5,
194809,52,
194810,40.6,
194811,23.7,
194812,14,
194901,3.7,
194902,15.8,
194903,26,
194904,40.5,
194905,46.9,
194906,51.9,
194907,60.1,
194908,59.6,
194909,49.1,
194910,33.8,
194911,35.9,
194912,19.3,
195001,10.9,
195002,25.6,
195003,24.4,
195004,33.7,
195005,39.6,
195006,50.2,
195007,56,
195008,56.4,
195009,47.3,
195010,42.6,
195011,26.5,
195012,25.4,
195101,14.1,
195102,23.2,
195103,21.8,
195104,33.8,
195105,45.7,
195106,46.1,
195107,58.8,
195108,56.4,
195109,46.6,
195110,36,
195111,25.5,
195112,14.9,
195201,16.8,
195202,20.9,
195203,21.9,
195204,39.4,
195205,45.9,
195206,54.3,
195207,58.2,
195208,58.2,
195209,53.2,
195210,42.8,
195211,22.3,
195212,22.2,
195301,29,
195302,22.2,
195303,29.7,
195304,30.7,
195305,40.4,
195306,52.5,
195307,62.6,
195308,59.4,
195309,51.8,
195310,42.9,
195311,33,
195312,21.1,
195401,20.4,
195402,30.1,
195403,21.7,
195404,36.3,
195405,45.2,
195406,50.3,
195407,62.9,
195408,57.6,
195409,50.6,
195410,37.8,
195411,33.8,
195412,21.1,
195501,17.2,
195502,16.4,
195503,18.8,
195504,34,
195505,44.4,
195506,51,
195507,60.7,
195508,61.9,
195509,49,
195510,41.6,
195511,19.2,
195512,18.2,
195601,19.7,
195602,15.3,
195603,25,
195604,34.2,
195605,46.6,
195606,56.4,
195607,60,
195608,56.4,
195609,51.4,
195610,40.6,
195611,24.3,
195612,21.9,
195701,7.7,
195702,24.1,
195703,27.3,
195704,32.6,
195705,45.6,
195706,51.9,
195707,61.3,
195708,59.2,
195709,48.8,
195710,38.3,
195711,22.7,
195712,25.1,
195801,22.3,
195802,26.2,
195803,24.1,
195804,33.3,
195805,50.8,
195806,52.4,
195807,56.1,
195808,60.5,
195809,50.2,
195810,41.9,
195811,27,
195812,23,
195901,19,
195902,17.9,
195903,27,
195904,34.6,
195905,40.6,
195906,56.1,
195907,60.6,
195908,58.8,
195909,48.1,
195910,37.9,
195911,23,
195912,22,
196001,18.3,
196002,15.3,
196003,27,
196004,35.9,
196005,44.8,
196006,54.4,
196007,62.6,
196008,57.4,
196009,51.3,
196010,40.2,
196011,26.6,
196012,19.6,
196101,21.2,
196102,27.6,
196103,29.7,
196104,33.2,
196105,45.3,
196106,57.7,
196107,61.3,
196108,61.5,
196109,42.6,
196110,36.8,
196111,24.3,
196112,15.9,
196201,10.1,
196202,20.2,
196203,24.2,
196204,38.4,
196205,44.5,
196206,52.5,
196207,57.3,
196208,56.7,
196209,49.4,
196210,43.3,
196211,31,
196212,24.4,
196301,8.6,
196302,28.4,
196303,27.8,
196304,34.2,
196305,45.5,
196306,51.9,
196307,59.7,
196308,59.3,
196309,54.3,
196310,45.6,
196311,30.8,
196312,18.9,
196401,18.2,
196402,17.1,
196403,20.8,
196404,34.8,
196405,44.6,
196406,50.3,
196407,62.2,
196408,55.9,
196409,48,
196410,41.8,
196411,26,
196412,18.1,
196501,23.4,
196502,19.7,
196503,14.7,
196504,36.9,
196505,41.7,
196506,51.1,
196507,59.3,
196508,56.5,
196509,39.8,
196510,44.1,
196511,32.4,
196512,23.2,
196601,18.3,
196602,19.5,
196603,28.8,
196604,32.8,
196605,47.6,
196606,51.7,
196607,63.5,
196608,57.6,
196609,53.6,
196610,38.6,
196611,28.2,
196612,20.6,
196701,22.7,
196702,23.2,
196703,26.9,
196704,32.7,
196705,42.2,
196706,49.7,
196707,60,
196708,59.3,
196709,53,
196710,40.6,
196711,27.3,
196712,14.1,
196801,16,
196802,24.8,
196803,31,
196804,31.6,
196805,41.4,
196806,51.4,
196807,59.5,
196808,54.5,
196809,48.7,
196810,40.1,
196811,25.6,
196812,16.1,
196901,17.2,
196902,21.4,
196903,22.9,
196904,39.6,
196905,47.1,
196906,49.1,
196907,59.6,
196908,61.7,
196909,52.7,
196910,32.8,
196911,28.7,
196912,22.6,
197001,19.6,
197002,26.4,
197003,23.7,
197004,28.4,
197005,44.5,
197006,54.1,
197007,61.2,
197008,61.6,
197009,45.2,
197010,35.1,
197011,26.7,
197012,19,
197101,19.3,
197102,21.1,
197103,24.7,
197104,34.3,
197105,44.3,
197106,53.1,
197107,57.9,
197108,63.4,
197109,45.8,
197110,35.6,
197111,26.5,
197112,16.2,
197201,13.6,
197202,24.4,
197203,33.6,
197204,35.1,
197205,44.4,
197206,54.5,
197207,56.5,
197208,58.2,
197209,46.4,
197210,37.8,
197211,25.7,
197212,11.8,
197301,15.3,
197302,22,
197303,26.8,
197304,30.8,
197305,43.8,
197306,54,
197307,59.4,
197308,59.5,
197309,47.6,
197310,41.5,
197311,25.9,
197312,23.1,
197401,16.2,
197402,24.9,
197403,28,
197404,36.5,
197405,41.5,
197406,55.7,
197407,61.9,
197408,55.1,
197409,48.2,
197410,41.5,
197411,28.3,
197412,19.5,
197501,15.8,
197502,16.2,
197503,24.6,
197504,27.7,
197505,40.1,
197506,49.3,
197507,61.7,
197508,55.4,
197509,48.7,
197510,38.1,
197511,23.7,
197512,23.3,
197601,18.9,
197602,23.9,
197603,22.8,
197604,35.9,
197605,46.6,
197606,50.8,
197607,61.5,
197608,57.1,
197609,51,
197610,37.6,
197611,28.6,
197612,22.1,
197701,14.4,
197702,26.5,
197703,24.8,
197704,39.2,
197705,44.3,
197706,57.1,
197707,60.4,
197708,55.6,
197709,49.2,
197710,40.6,
197711,26.2,
197712,19,
197801,15.2,
197802,18.1,
197803,30.1,
197804,37.2,
197805,42.2,
197806,52.8,
197807,58.4,
197808,56.3,
197809,50.2,
197810,41.4,
197811,20,
197812,7.9,
197901,2.4,
197902,18.6,
197903,28.4,
197904,34.8,
197905,43.6,
197906,52.9,
197907,60.5,
197908,58.4,
197909,54.4,
197910,42.2,
197911,22.6,
197912,24.2,
198001,13.6,
198002,23.7,
198003,25.6,
198004,38.7,
198005,46,
198006,53.3,
198007,61.1,
198008,55.4,
198009,50.3,
198010,39.7,
198011,29.5,
198012,27.7,
198101,26.6,
198102,23.4,
198103,31.6,
198104,38.6,
198105,43.9,
198106,51.4,
198107,59.6,
198108,60.2,
198109,52.6,
198110,36.7,
198111,32.3,
198112,21.5,
198201,13.8,
198202,19,
198203,27.7,
198204,31.6,
198205,41.7,
198206,49.8,
198207,58.4,
198208,60.7,
198209,47.9,
198210,37.4,
198211,24,
198212,19.9,
198301,25.5,
198302,26.6,
198303,30.2,
198304,32,
198305,41.3,
198306,50.8,
198307,59.1,
198308,62.6,
198309,49,
198310,41.2,
198311,26.8,
198312,7.3,
198401,19,
198402,23.2,
198403,28.7,
198404,33.4,
198405,43.5,
198406,51.2,
198407,61.3,
198408,60.7,
198409,45.2,
198410,34.1,
198411,26.7,
198412,14.3,
198501,14,
198502,14.8,
198503,25.4,
198504,39.1,
198505,47.5,
198506,53.9,
198507,62.1,
198508,56,
198509,43.8,
198510,37.2,
198511,15.3,
198512,17.6,
198601,24.9,
198602,21.9,
198603,35.8,
198604,36.7,
198605,44.2,
198606,57.4,
198607,56.7,
198608,59,
198609,43.9,
198610,39.8,
198611,24.7,
198612,20.5,
198701,18.3,
198702,24.4,
198703,29.1,
198704,43.3,
198705,49,
198706,55.5,
198707,57.8,
198708,55.6,
198709,51.8,
198710,41.4,
198711,30.1,
198712,19.1,
198801,15.8,
198802,23,
198803,26.8,
198804,39,
198805,47.3,
198806,61.4,
198807,63.6,
198808,59.7,
198809,49.2,
198810,45.5,
198811,25.6,
198812,19.3,
198901,18.7,
198902,11.4,
198903,28.4,
198904,36.9,
198905,44.7,
198906,52.8,
198907,64.1,
198908,57.6,
198909,50.1,
198910,38.8,
198911,29.6,
198912,18.9,
199001,21.9,
199002,20.9,
199003,29.6,
199004,38.5,
199005,42.4,
199006,53.7,
199007,60.2,
199008,59.9,
199009,55.8,
199010,37.6,
199011,29.8,
199012,9.8,
199101,16.1,
199102,29.9,
199103,27.8,
199104,33.7,
199105,43.4,
199106,53.3,
199107,61.4,
199108,62,
199109,50.5,
199110,38,
199111,22.7,
199112,22,
199201,22.1,
199202,29.2,
199203,34.5,
199204,40.6,
199205,48.8,
199206,53.7,
199207,55.2,
199208,57.7,
199209,49.7,
199210,41.6,
199211,24.3,
199212,15,
199301,15.4,
199302,17.3,
199303,31.4,
199304,35.4,
199305,47.9,
199306,49.7,
199307,52.5,
199308,55,
199309,48.1,
199310,38.9,
199311,21.7,
199312,21.7,
199401,23.3,
199402,18.3,
199403,30.9,
199404,37.4,
199405,49.5,
199406,55.1,
199407,60.2,
199408,61.7,
199409,53.6,
199410,37.9,
199411,21.8,
199412,22.6,
199501,21,
199502,26,
199503,27.4,
199504,33.3,
199505,42.1,
199506,51,
199507,58.9,
199508,60.8,
199509,50.2,
199510,35.9,
199511,30.1,
199512,21.9,
199601,15.7,
199602,20.7,
199603,25,
199604,36.6,
199605,41.5,
199606,55.6,
199607,61.6,
199608,60.5,
199609,47.9,
199610,38.9,
199611,27,
199612,19.2,
199701,17.6,
199702,21.4,
199703,29.9,
199704,31.2,
199705,46.3,
199706,55,
199707,58.7,
199708,59,
199709,52.9,
199710,39,
199711,27.1,
199712,20.7,
199801,20.9,
199802,24.4,
199803,27.6,
199804,37,
199805,46.1,
199806,47,
199807,63.5,
199808,60.9,
199809,55.9,
199810,40.4,
199811,30.6,
199812,18.4,
199901,23.1,
199902,25.8,
199903,31,
199904,33.6,
199905,42.7,
199906,51.4,
199907,60.2,
199908,60.3,
199909,47.1,
199910,42.4,
199911,36.7,
199912,23.6,
200001,22.2,
200002,27.8,
200003,31,
200004,39.6,
200005,46.2,
200006,53.3,
200007,62.7,
200008,61.7,
200009,49.8,
200010,40,
200011,19.3,
200012,19.2,
200101,21.2,
200102,18.9,
200103,31.3,
200104,37,
200105,47.7,
200106,54.3,
200107,62.4,
200108,63.2,
200109,54.4,
200110,39.2,
200111,32.7,
200112,20.2,
200201,18.8,
200202,21.1,
200203,23,
200204,35,
200205,43.4,
200206,54.5,
200207,64,
200208,56.4,
200209,51,
200210,34,
200211,28.1,
200212,23.3,
200301,26.8,
200302,19.1,
200303,29.3,
200304,39.1,
200305,45.5,
200306,51.8,
200307,65.3,
200308,62.9,
200309,49.3,
200310,43.6,
200311,22.3,
200312,23.7,
200401,20.4,
200402,23.6,
200403,34.8,
200404,39.2,
200405,44,
200406,51.2,
200407,59.4,
200408,56.2,
200409,49.2,
200410,40,
200411,29.4,
200412,24.4,
200501,22.8,
200502,24.3,
200503,30.1,
200504,36.8,
200505,43.8,
200506,51.7,
200507,62.4,
200508,58,
200509,50.3,
200510,42.3,
200511,29.3,
200512,19.9,
200601,25.7,
200602,20.1,
200603,28,
200604,39.9,
200605,47.2,
200606,56.7,
200607,64.8,
200608,59,
200609,50,
200610,37.4,
200611,29.1,
200612,22.5,
200701,16.2,
200702,24,
200703,35.5,
200704,38.1,
200705,47.4,
200706,56.3,
200707,66.5,
200708,60.7,
200709,51.2,
200710,39.9,
200711,29.7,
200712,17.4,
200801,16.4,
200802,23.9,
200803,25.3,
200804,32,
200805,43.6,
200806,51.8,
200807,61.5,
200808,60.2,
200809,49,
200810,40.2,
200811,33.3,
200812,16.5,
200901,21.8,
200902,24.6,
200903,27.3,
200904,35.8,
200905,45.7,
200906,50.5,
200907,58.6,
200908,57.8,
200909,54.9,
200910,32,
200911,30.8,
200912,13.5,
201001,22.4,
201002,22.1,
201003,32.4,
201004,36,
201005,40,
201006,52.1,
201007,59.8,
201008,58.5,
201009,52.2,
201010,44.4,
201011,25.9,
201012,21.8,
201101,20.3,
201102,16.5,
201103,29.6,
201104,32.8,
201105,41.2,
201106,51.3,
201107,62,
201108,61.3,
201109,53.8,
201110,42.4,
201111,26.2,
201112,20.5,
201201,23.7,
201202,21.9,
201203,35.5,
201204,40.9,
201205,44.7,
201206,55.6,
201207,64.3,
201208,61.5,
201209,53.9,
201210,38.3,
201211,31.6,
201212,20.2,
201301,20,
201302,22,
201303,28.8,
201304,32.4,
201305,46.6,
201306,55.1,
201307,63.2,
201308,62.3,
201309,52.7,
201310,36.4,
201311,29.6,
201312,17.1,
201401,22.5,
201402,16.8,
201403,29.4,
201404,36.6,
201405,47,
201406,51.4,
201407,62.1,
201408,57.8,
201409,51.6,
201410,44.2,
201411,24.6,
201412,23.4,
201501,25.5,
201502,27.2,
201503,35.6,
201504,38,
201505,44.8,
201506,59.2,
201507,59.1,
201508,59.4,
201509,54.8,
201510,45.7,
201511,26,
201512,20.6,
201601,24.1,
201602,29.6,
201603,32.1,
201604,40.6,
201605,45.7,
201606,58.9,
201607,60.9,
201608,59.5,
201609,51,
201610,42.2,
201611,35.3,
201612,14.6,
201701,15.8,
201702,25.8,
201703,36.2,
201704,37.5,
201705,46.5,
201706,54.7,
201707,63.9,
201708,59.4,
201709,50,
201710,38.2,
201711,30.6,
201712,22.2,
201801,24.7,
201802,16.8,
201803,29.7,
201804,36.4,
201805,49.3,
201806,54.2,
201807,62.3,
201808,58.8,
201809,51.8,
201810,38.6,
201811,26.6,
201812,20.6,
201901,24,
