Pennington County, South Dakota, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,14.1,
189502,15.2,
189503,29,
189504,48.7,
189505,52.5,
189506,58.7,
189507,68,
189508,68.6,
189509,58.8,
189510,44.4,
189511,27.9,
189512,24,
189601,22.3,
189602,28.1,
189603,24.8,
189604,43.1,
189605,56.3,
189606,65,
189607,69.6,
189608,68.5,
189609,53.2,
189610,43.8,
189611,17.6,
189612,32.7,
189701,17.5,
189702,21.4,
189703,26.2,
189704,43.1,
189705,57.4,
189706,63.6,
189707,70.4,
189708,66.2,
189709,65.4,
189710,48.8,
189711,26.5,
189712,21,
189801,21.1,
189802,28.4,
189803,25.8,
189804,43.7,
189805,51.4,
189806,64.2,
189807,70.1,
189808,70.2,
189809,58.8,
189810,41.7,
189811,26.5,
189812,20.2,
189901,17.3,
189902,4.9,
189903,16.5,
189904,41,
189905,51.2,
189906,60.8,
189907,68.8,
189908,67,
189909,60,
189910,44.5,
189911,38.4,
189912,20.4,
190001,28,
190002,19.4,
190003,32.7,
190004,47.5,
190005,60.2,
190006,69.2,
190007,69.4,
190008,71.9,
190009,58.1,
190010,49.1,
190011,30.5,
190012,28.6,
190101,24.9,
190102,15.5,
190103,30.8,
190104,45.8,
190105,58.8,
190106,60.9,
190107,75.9,
190108,70.4,
190109,55.8,
190110,49.7,
190111,37.2,
190112,23.2,
190201,21.2,
190202,21.7,
190203,31.8,
190204,41.6,
190205,56.3,
190206,60.7,
190207,68,
190208,67.8,
190209,55,
190210,49.4,
190211,33.4,
190212,19.7,
190301,23.8,
190302,14.4,
190303,28.9,
190304,44.1,
190305,51.7,
190306,61.1,
190307,70,
190308,67.1,
190309,52.6,
190310,48.6,
190311,30.6,
190312,26.4,
190401,21.1,
190402,18.9,
190403,31.9,
190404,43.9,
190405,53.9,
190406,60.3,
190407,67.4,
190408,68.3,
190409,58.3,
190410,48.9,
190411,39.7,
190412,24.6,
190501,14.9,
190502,13.8,
190503,37.8,
190504,40.7,
190505,48.7,
190506,59.2,
190507,65.1,
190508,68.3,
190509,60,
190510,40.5,
190511,34,
190512,25.7,
190601,23.6,
190602,24.5,
190603,20.2,
190604,47.2,
190605,51.9,
190606,60.3,
190607,67.6,
190608,66.8,
190609,60.5,
190610,47.1,
190611,31.9,
190612,27.9,
190701,12,
190702,28.8,
190703,37.6,
190704,38.1,
190705,46.5,
190706,60.9,
190707,67.7,
190708,66.7,
190709,55.5,
190710,48.6,
190711,33,
190712,27,
190801,25.6,
190802,24.9,
190803,33.1,
190804,47.3,
190805,50.7,
190806,60.6,
190807,69.3,
190808,65.8,
190809,63.3,
190810,44.2,
190811,34.9,
190812,23.2,
190901,15.6,
190902,22.6,
190903,31.3,
190904,37.9,
190905,51.5,
190906,65,
190907,70.4,
190908,73.2,
190909,60.7,
190910,47.2,
190911,34.2,
190912,11.2,
191001,20.2,
191002,15,
191003,46.6,
191004,50.8,
191005,51.2,
191006,67,
191007,72.4,
191008,66.2,
191009,59.4,
191010,51.6,
191011,32.2,
191012,25.7,
191101,22.5,
191102,23.5,
191103,40.3,
191104,43.3,
191105,56.6,
191106,70.9,
191107,69.2,
191108,64.5,
191109,60.1,
191110,43.1,
191111,25.2,
191112,21.4,
191201,12.2,
191202,23.6,
191203,21.6,
191204,45.4,
191205,54.3,
191206,63.6,
191207,69,
191208,65.8,
191209,51.2,
191210,46.6,
191211,37.3,
191212,27,
191301,17.2,
191302,14.9,
191303,24.5,
191304,47.2,
191305,52.4,
191306,67.1,
191307,70.5,
191308,72.9,
191309,59.7,
191310,42.3,
191311,38.7,
191312,26.2,
191401,29.4,
191402,14.9,
191403,32.5,
191404,43.7,
191405,55.1,
191406,66.1,
191407,74.5,
191408,67.9,
191409,62.6,
191410,50.2,
191411,38.9,
191412,15.7,
191501,17,
191502,23.5,
191503,21.3,
191504,50.2,
191505,49.1,
191506,57.6,
191507,62.6,
191508,63.1,
191509,55.8,
191510,49,
191511,34.3,
191512,25.7,
191601,6,
191602,22.9,
191603,35.6,
191604,41.6,
191605,50.7,
191606,58.8,
191607,74.1,
191608,66.5,
191609,57.9,
191610,43.3,
191611,32.2,
191612,12.4,
191701,17.9,
191702,16.6,
191703,26,
191704,39,
191705,48.2,
191706,60.5,
191707,73.6,
191708,65.9,
191709,58.9,
191710,42.1,
191711,41.2,
191712,16,
191801,10.6,
191802,21.8,
191803,41.3,
191804,39.3,
191805,54.4,
191806,67.5,
191807,68.2,
191808,68.6,
191809,54.9,
191810,49.4,
191811,31.6,
191812,26.1,
191901,29,
191902,17.4,
191903,31,
191904,42.5,
191905,53.6,
191906,66.5,
191907,73.2,
191908,68.7,
191909,61.6,
191910,37.2,
191911,24.6,
191912,18.5,
192001,23,
192002,23.7,
192003,29.7,
192004,34,
192005,52,
192006,61.5,
192007,69.8,
192008,67.8,
192009,58.9,
192010,48.6,
192011,28.6,
192012,23.7,
192101,27.1,
192102,29.3,
192103,37,
192104,43.4,
192105,53.6,
192106,69.6,
192107,72.9,
192108,69.4,
192109,58.5,
192110,50.6,
192111,29.9,
192112,24.6,
192201,13.5,
192202,11.2,
192203,32.4,
192204,42,
192205,54.3,
192206,66.2,
192207,67,
192208,71.6,
192209,63,
192210,49,
192211,32.8,
192212,17.2,
192301,25.7,
192302,18.2,
192303,27.6,
192304,42.1,
192305,54.1,
192306,64.4,
192307,72.6,
192308,65.1,
192309,59.8,
192310,44.1,
192311,38.8,
192312,26.4,
192401,13.8,
192402,27,
192403,25.4,
192404,42.6,
192405,49.5,
192406,61,
192407,68.7,
192408,68.2,
192409,58,
192410,51.5,
192411,34.3,
192412,12.2,
192501,16.7,
192502,29.2,
192503,35.9,
192504,48.4,
192505,55.7,
192506,63,
192507,70.2,
192508,69.5,
192509,61.9,
192510,35.2,
192511,33.5,
192512,25.2,
192601,21.8,
192602,30.2,
192603,31.9,
192604,44.2,
192605,57.5,
192606,63,
192607,70.6,
192608,68.5,
192609,55.6,
192610,48.6,
192611,29.5,
192612,21.8,
192701,19.3,
192702,26.9,
192703,33.2,
192704,40.8,
192705,50.6,
192706,61.6,
192707,66.8,
192708,63.9,
192709,58,
192710,49.8,
192711,28.6,
192712,8,
192801,23,
192802,26.3,
192803,34.4,
192804,39.5,
192805,58.2,
192806,57.4,
192807,69.1,
192808,68.2,
192809,57.5,
192810,45.7,
192811,33.5,
192812,27.4,
192901,7.7,
192902,11.4,
192903,34.7,
192904,43,
192905,51.5,
192906,61.1,
192907,71.4,
192908,72.6,
192909,54,
192910,48.2,
192911,29.3,
192912,23.6,
193001,6.7,
193002,33.9,
193003,30.2,
193004,49.5,
193005,51.5,
193006,63,
193007,75.1,
193008,70.6,
193009,59.2,
193010,43,
193011,33.6,
193012,27.7,
193101,29.5,
193102,32.8,
193103,30.2,
193104,44.5,
193105,53.2,
193106,71.1,
193107,74.6,
193108,69.8,
193109,65,
193110,49.1,
193111,32.1,
193112,24.6,
193201,15.6,
193202,24.1,
193203,24.3,
193204,47.6,
193205,56.4,
193206,65.5,
193207,72,
193208,70.7,
193209,59,
193210,41.8,
193211,35,
193212,16.8,
193301,26.9,
193302,16.7,
193303,33.7,
193304,42.5,
193305,51.3,
193306,72.3,
193307,76.6,
193308,67.4,
193309,62.6,
193310,48.5,
193311,37.7,
193312,26.1,
193401,29.5,
193402,29.3,
193403,32.5,
193404,46.1,
193405,65.9,
193406,66.6,
193407,75.3,
193408,69.6,
193409,54.3,
193410,51.8,
193411,38.1,
193412,24.4,
193501,22.4,
193502,31.7,
193503,35,
193504,38.7,
193505,47.9,
193506,61.2,
193507,76.4,
193508,70.4,
193509,61,
193510,46.5,
193511,29.3,
193512,24.6,
193601,13.3,
193602,-1,
193603,33,
193604,40.4,
193605,60.8,
193606,70.7,
193607,81.6,
193608,73.6,
193609,62.8,
193610,46.4,
193611,33.3,
193612,24.3,
193701,3,
193702,19.2,
193703,29.4,
193704,42.6,
193705,57.4,
193706,63,
193707,73.3,
193708,75.2,
193709,62.3,
193710,48.2,
193711,31,
193712,22.5,
193801,24.6,
193802,22.9,
193803,36.5,
193804,44.1,
193805,52.4,
193806,65.6,
193807,71.4,
193808,72.2,
193809,63,
193810,53.5,
193811,31,
193812,26.3,
193901,28.8,
193902,13.3,
193903,34.5,
193904,45,
193905,60.8,
193906,63.5,
193907,76.7,
193908,69.2,
193909,62.9,
193910,47.8,
193911,37.8,
193912,32.2,
194001,10.3,
194002,22.6,
194003,31.7,
194004,41,
194005,55.4,
194006,65.9,
194007,75.5,
194008,69.4,
194009,65,
194010,52.6,
194011,28.7,
194012,27.4,
194101,22.9,
194102,25.9,
194103,30.8,
194104,44.4,
194105,59.5,
194106,63.4,
194107,71.6,
194108,69.9,
194109,57.5,
194110,45.4,
194111,35.6,
194112,28.4,
194201,23,
194202,20.8,
194203,32.2,
194204,48.4,
194205,49.2,
194206,60.2,
194207,70,
194208,68.5,
194209,55.5,
194210,48,
194211,33.6,
194212,25.1,
194301,13.8,
194302,29.8,
194303,24.1,
194304,49.4,
194305,50.9,
194306,61.9,
194307,72.3,
194308,72.5,
194309,58.1,
194310,49.1,
194311,33.7,
194312,27.2,
194401,25,
194402,19.3,
194403,23,
194404,41,
194405,57.3,
194406,60.7,
194407,68.5,
194408,68.6,
194409,58.1,
194410,49.2,
194411,30.8,
194412,22.8,
194501,24.1,
194502,24.3,
194503,35.6,
194504,40.3,
194505,51,
194506,56,
194507,70.4,
194508,69.6,
194509,56.9,
194510,49.1,
194511,32.9,
194512,19.8,
194601,26.1,
194602,28.6,
194603,41.4,
194604,51.2,
194605,50,
194606,63.6,
194607,73,
194608,66.7,
194609,58.5,
194610,41.7,
194611,32.2,
194612,26,
194701,25,
194702,19.4,
194703,27.1,
194704,42.3,
194705,51.8,
194706,59.7,
194707,72.4,
194708,74.1,
194709,60.8,
194710,54,
194711,26.6,
194712,27.3,
194801,21.3,
194802,19,
194803,27.4,
194804,47.4,
194805,54.1,
194806,61.6,
194807,69.8,
194808,69.6,
194809,64.9,
194810,47.8,
194811,31.3,
194812,20.4,
194901,6.2,
194902,15.4,
194903,29.6,
194904,48.3,
194905,56.7,
194906,64,
194907,73.7,
194908,71.8,
194909,57.5,
194910,45.1,
194911,42.3,
194912,19.8,
195001,6.3,
195002,25.7,
195003,23.4,
195004,36.9,
195005,49.2,
195006,62.7,
195007,65.9,
195008,65.7,
195009,57.4,
195010,51.2,
195011,30.2,
195012,25.5,
195101,18.1,
195102,26.1,
195103,22.1,
195104,39.3,
195105,54.6,
195106,56.2,
195107,69,
195108,66.9,
195109,54,
195110,44.5,
195111,30.6,
195112,14.6,
195201,18.4,
195202,25.6,
195203,23.1,
195204,47.6,
195205,54.5,
195206,67.2,
195207,69.3,
195208,69.3,
195209,63.7,
195210,46.5,
195211,31.5,
195212,26.6,
195301,28.6,
195302,23.7,
195303,34.1,
195304,36.7,
195305,50.4,
195306,65.4,
195307,70.4,
195308,69.6,
195309,59.9,
195310,52.7,
195311,38.5,
195312,27.6,
195401,18.7,
195402,38.7,
195403,26,
195404,44.5,
195405,52.2,
195406,62.4,
195407,75.7,
195408,70.2,
195409,60.9,
195410,44.9,
195411,39.8,
195412,29,
195501,22.1,
195502,17.9,
195503,27.7,
195504,48.5,
195505,57.8,
195506,60.2,
195507,74.4,
195508,73.4,
195509,59.8,
195510,49.6,
195511,23,
195512,18.9,
195601,21,
195602,21.5,
195603,32.3,
195604,37.6,
195605,54.8,
195606,70.4,
195607,69.5,
195608,67.3,
195609,60,
195610,51.4,
195611,31.8,
195612,28.2,
195701,9.9,
195702,25.8,
195703,31.6,
195704,39.3,
195705,52.3,
195706,61,
195707,72.9,
195708,69.4,
195709,56.8,
195710,46.2,
195711,32.8,
195712,31.7,
195801,28.3,
195802,21,
195803,28.3,
195804,42,
195805,59.3,
195806,60.3,
195807,65,
195808,71.5,
195809,61.8,
195810,48.7,
195811,34,
195812,23.6,
195901,18.9,
195902,18.8,
195903,35.4,
195904,41.5,
195905,52,
195906,67.9,
195907,70.6,
195908,73.1,
195909,56.9,
195910,42.6,
195911,25.9,
195912,30.7,
196001,21.8,
196002,18.1,
196003,26.6,
196004,45.5,
196005,54.2,
196006,63,
196007,73.9,
196008,69.9,
196009,60.4,
196010,48.7,
196011,33.6,
196012,23,
196101,24.8,
196102,29.8,
196103,36.8,
196104,39.9,
196105,53.1,
196106,67.6,
196107,70.5,
196108,73.9,
196109,53.8,
196110,47.4,
196111,32.4,
196112,20.7,
196201,17.8,
196202,21.7,
196203,26.6,
196204,47,
196205,55.9,
196206,62.8,
196207,67.2,
196208,68.9,
196209,58.3,
196210,50.3,
196211,37.8,
196212,27.6,
196301,11.4,
196302,28.7,
196303,37.8,
196304,43.8,
196305,54.9,
196306,65.8,
196307,72.4,
196308,71.8,
196309,64.2,
196310,56.8,
196311,37,
196312,20.2,
196401,25.1,
196402,25,
196403,27.6,
196404,44,
196405,56.5,
196406,62.3,
196407,74,
196408,66.9,
196409,57.2,
196410,48.3,
196411,31.5,
196412,18,
196501,23.3,
196502,23.7,
196503,19.3,
196504,44.9,
196505,53.4,
196506,62.4,
196507,69.9,
196508,67.7,
196509,48.4,
196510,51.9,
196511,35.4,
196512,30.3,
196601,13.6,
196602,17.6,
196603,34.9,
196604,38.5,
196605,55.2,
196606,64.8,
196607,76,
196608,65.5,
196609,59.9,
196610,46.6,
196611,32.2,
196612,24.5,
196701,25.5,
196702,24.9,
196703,34.5,
196704,44.1,
196705,48.7,
196706,59.5,
196707,69.2,
196708,68.4,
196709,60.4,
196710,48.3,
196711,32.4,
196712,20,
196801,20.3,
196802,25.3,
196803,38.3,
196804,41.6,
196805,49.8,
196806,62.7,
196807,69.3,
196808,65.8,
196809,58,
196810,49.4,
196811,32.9,
196812,17.2,
196901,14.3,
196902,23.3,
196903,25.9,
196904,49,
196905,57.3,
196906,58.4,
196907,70.3,
196908,73.1,
196909,63.6,
196910,40,
196911,36,
196912,25.5,
197001,15.9,
197002,28.9,
197003,26.1,
197004,38.5,
197005,55.4,
197006,65.6,
197007,72.4,
197008,72.4,
197009,58,
197010,42.6,
197011,31.8,
197012,19.9,
197101,15.9,
197102,20.2,
197103,30.5,
197104,44.6,
197105,52.6,
197106,65.5,
197107,67.5,
197108,72,
197109,56.2,
197110,44.9,
197111,33,
197112,21.2,
197201,15.4,
197202,23,
197203,36.2,
197204,42.5,
197205,54.6,
197206,64.4,
197207,66.2,
197208,67.9,
197209,58.5,
197210,44.1,
197211,29.5,
197212,15.9,
197301,22.9,
197302,27.1,
197303,36.2,
197304,41.4,
197305,52.6,
197306,64.2,
197307,70,
197308,72.3,
197309,55.6,
197310,49.5,
197311,30.5,
197312,23.7,
197401,20,
197402,29.8,
197403,35.9,
197404,45.5,
197405,53.3,
197406,65.5,
197407,75.6,
197408,65.8,
197409,55.5,
197410,50.2,
197411,34.9,
197412,26.8,
197501,22,
197502,16.8,
197503,27.1,
197504,39.8,
197505,53,
197506,61.8,
197507,73.8,
197508,69.3,
197509,56.7,
197510,48.3,
197511,31.8,
197512,27.7,
197601,21.6,
197602,32.6,
197603,32.3,
197604,46.3,
197605,54.9,
197606,64.5,
197607,72.2,
197608,70.6,
197609,61.3,
197610,43.2,
197611,28.8,
197612,25.1,
197701,11.4,
197702,31.5,
197703,34,
197704,47.9,
197705,59.8,
197706,68.1,
197707,72.7,
197708,64.6,
197709,60,
197710,47.8,
197711,31.8,
197712,19.9,
197801,8.5,
197802,13.6,
197803,33.3,
197804,43.6,
197805,54,
197806,63.8,
197807,70,
197808,67.9,
197809,63.5,
197810,48.1,
197811,27.6,
197812,15.2,
197901,5.5,
197902,15.2,
197903,33.4,
197904,42.8,
197905,52.2,
197906,63.7,
197907,69.6,
197908,66.8,
197909,63.8,
197910,49.1,
197911,29.9,
197912,30.3,
198001,18.9,
198002,25,
198003,30.1,
198004,46.5,
198005,56.1,
198006,66.4,
198007,74.4,
198008,67.6,
198009,59.7,
198010,46.6,
198011,36.8,
198012,27.7,
198101,30,
198102,27,
198103,37.9,
198104,50.6,
198105,53.5,
198106,63.9,
198107,71.4,
198108,68.2,
198109,61.1,
198110,46.3,
198111,37.7,
198112,24,
198201,11.4,
198202,22.6,
198203,31.9,
198204,41,
198205,53,
198206,59.3,
198207,70.4,
198208,69.5,
198209,57.9,
198210,44.9,
198211,30.4,
198212,26.1,
198301,29.5,
198302,33.7,
198303,34.2,
198304,38.2,
198305,49.9,
198306,62.1,
198307,73.6,
198308,75.9,
198309,59.3,
198310,47.2,
198311,32.7,
198312,5.9,
198401,24.9,
198402,32.3,
198403,32,
198404,41.9,
198405,52.4,
198406,62.4,
198407,71.3,
198408,72.9,
198409,55.4,
198410,45.1,
198411,35,
198412,19.3,
198501,18.7,
198502,20.5,
198503,33.8,
198504,49.3,
198505,59.6,
198506,61.6,
198507,73.4,
198508,67.3,
198509,55.4,
198510,46.3,
198511,16.4,
198512,19.1,
198601,29,
198602,21.7,
198603,41.6,
198604,43.3,
198605,54.3,
198606,67.4,
198607,70,
198608,67.6,
198609,54.1,
198610,47.2,
198611,29.5,
198612,29,
198701,29.2,
198702,31.8,
198703,30.5,
198704,50,
198705,58.6,
198706,66.5,
198707,73.5,
198708,66.8,
198709,59.1,
198710,45.6,
198711,38.4,
198712,27.4,
198801,19.4,
198802,24.7,
198803,34.4,
198804,45.8,
198805,58.8,
198806,74.3,
198807,73.9,
198808,71.2,
198809,58.3,
198810,47.8,
198811,34.4,
198812,27.6,
198901,27.3,
198902,13.6,
198903,29.6,
198904,44.8,
198905,54.9,
198906,63.2,
198907,75.2,
198908,71.6,
198909,59.6,
198910,47.7,
198911,35,
198912,18.5,
199001,31.3,
199002,27.6,
199003,35.5,
199004,44,
199005,52,
199006,65.9,
199007,70.4,
199008,71,
199009,64,
199010,46.8,
199011,38.8,
199012,16.8,
199101,17.5,
199102,33.5,
199103,36.9,
199104,45,
199105,55.7,
199106,66.2,
199107,71,
199108,71.5,
199109,59.9,
199110,45.2,
199111,28.6,
199112,30.4,
199201,30.7,
199202,34,
199203,39.7,
199204,45.6,
199205,57.3,
199206,61.8,
199207,63.3,
199208,64.4,
199209,60.2,
199210,47.9,
199211,30.4,
199212,19,
199301,16.2,
199302,15.2,
199303,35.6,
199304,42.5,
199305,55.2,
199306,59.6,
199307,64.5,
199308,66.2,
199309,54.1,
199310,45.5,
199311,29.4,
199312,29,
199401,19.8,
199402,17.9,
199403,38.2,
199404,44.2,
199405,58.7,
199406,66,
199407,68.2,
199408,70.5,
199409,61.9,
199410,48.2,
199411,33.8,
199412,29,
199501,26.6,
199502,30.3,
199503,32.4,
199504,38.8,
199505,50.1,
199506,61.7,
199507,69.7,
199508,72.7,
199509,58.6,
199510,45.5,
199511,33.1,
199512,24.8,
199601,14.6,
199602,26.8,
199603,25.9,
199604,43.3,
199605,50,
199606,65.6,
199607,69.5,
199608,70.9,
199609,57.8,
199610,46.3,
199611,24.5,
199612,16.6,
199701,17.5,
199702,28.4,
199703,36,
199704,38.4,
199705,51.7,
199706,65.5,
199707,69.6,
199708,68.1,
199709,61.9,
199710,49.1,
199711,32.5,
199712,29.9,
199801,24.2,
199802,34.6,
199803,27.4,
199804,45.1,
199805,56,
199806,57.9,
199807,72,
199808,70.8,
199809,66.3,
199810,47,
199811,37.1,
199812,27.1,
199901,24.6,
199902,36.3,
199903,37.4,
199904,42.6,
199905,52.9,
199906,62.7,
199907,71.1,
199908,70.4,
199909,55.6,
199910,48.6,
199911,43.4,
199912,32.3,
200001,25.9,
200002,32.8,
200003,39,
200004,43.4,
200005,56,
200006,62.7,
200007,72.1,
200008,73.5,
200009,62.2,
200010,49.3,
200011,25.6,
200012,16.5,
200101,28.4,
200102,17.3,
200103,34,
200104,45.7,
200105,55.8,
200106,64,
200107,73.6,
200108,73.2,
200109,62,
200110,47.2,
200111,39.6,
200112,27.6,
200201,26.6,
200202,30.3,
200203,22.6,
200204,43.6,
200205,50.9,
200206,68.4,
200207,76.5,
200208,69.6,
200209,61,
200210,39,
200211,36.1,
200212,30.3,
200301,25.4,
200302,21.9,
200303,34.1,
200304,47.1,
200305,53.7,
200306,60.8,
200307,75,
200308,74.8,
200309,58.4,
200310,51.9,
200311,27.9,
200312,29.1,
200401,22,
200402,27.4,
200403,39.9,
200404,47.4,
200405,54.6,
200406,60.2,
200407,70.5,
200408,65.7,
200409,61,
200410,48.6,
200411,36.3,
200412,30.8,
200501,22,
200502,32.2,
200503,36.5,
200504,46.5,
200505,51.9,
200506,65.4,
200507,73.8,
200508,69.9,
200509,64,
200510,48.9,
200511,38.1,
200512,23.4,
200601,35.3,
200602,25.3,
200603,32.6,
200604,48.6,
200605,56.6,
200606,68.4,
200607,77.5,
200608,71.2,
200609,55.8,
200610,44.4,
200611,34.9,
200612,28.5,
200701,24.1,
200702,20,
200703,43.1,
200704,42.5,
200705,57.7,
200706,67.1,
200707,77,
200708,72,
200709,62.2,
200710,49.2,
200711,36.2,
200712,21.9,
200801,20.2,
200802,24.1,
200803,34.1,
200804,41.4,
200805,50.4,
200806,61.1,
200807,70.9,
200808,70.2,
200809,58.5,
200810,46.6,
200811,36.3,
200812,18.2,
200901,24.3,
200902,28.5,
200903,32.7,
200904,40.4,
200905,54,
200906,60,
200907,67.2,
200908,66.7,
200909,62.1,
200910,38.2,
200911,40.5,
200912,15.7,
201001,21.4,
201002,18.9,
201003,37.7,
201004,45.8,
201005,51,
201006,62.8,
201007,70.2,
201008,72,
201009,59.3,
201010,52.3,
201011,31.9,
201012,23.3,
201101,19.5,
201102,19.2,
201103,31,
201104,42.8,
201105,49.8,
201106,62.3,
201107,74,
201108,71.4,
201109,59.9,
201110,50.2,
201111,33.7,
201112,28,
201201,28.7,
201202,26.7,
201203,47.2,
201204,49.8,
201205,55.7,
201206,69.4,
201207,77.4,
201208,71.1,
201209,63.3,
201210,45.8,
201211,37.2,
201212,25,
201301,24.1,
201302,28.7,
201303,33.4,
201304,36.8,
201305,54.6,
201306,63.5,
201307,71.6,
201308,71.1,
201309,64.6,
201310,42.7,
201311,33.9,
201312,18.2,
201401,25.2,
201402,18.5,
201403,31.7,
201404,43,
201405,53.6,
201406,61,
201407,69.2,
201408,69.1,
201409,59.3,
201410,50.7,
201411,27.6,
201412,27.7,
201501,27.2,
201502,26.9,
201503,41,
201504,45.5,
201505,50.5,
201506,65.7,
201507,70.2,
201508,69.4,
201509,64.9,
201510,51.2,
201511,35.1,
201512,25.7,
201601,24.3,
201602,35,
201603,40.6,
201604,46,
201605,53.6,
201606,69.9,
201607,71.8,
201608,69.5,
201609,61.1,
201610,52.3,
201611,42.8,
201612,16.7,
201701,18.8,
201702,31.7,
201703,39.1,
201704,45.2,
201705,54.3,
201706,66.5,
201707,75.9,
201708,68,
201709,60.5,
201710,47.1,
201711,37.4,
201712,24.6,
201801,23.4,
201802,13.6,
201803,32.6,
201804,38.6,
201805,58.9,
201806,66.7,
201807,70.8,
201808,68.2,
201809,60.9,
201810,43.3,
201811,32.2,
201812,27.3,
201901,25.6,
